临时,#genre#
TVB翡翠台[1280x720],https://s2.pub/cctv-4
J2[1920x1080],https://s2.pub/cctv-5
RK31[1920x1080],https://s2.pub/cctv-14
RK32[1920x1080],https://s2.pub/cctv-15
凤凰卫视[1280x720],https://s2.pub/cctv-1
翡翠香港频道[1280x720],https://s2.pub/cctv-4
明珠香港频道[1280x720],https://s2.pub/cctv-6
VIUtv1香港台[1920x1080],https://s2.pub/cctv-7
VIUtv2香港频[1920x1080],https://s2.pub/cctv-8
HOY78香港台[1920x1080],https://s2.pub/cctv-10
中天新闻[1920x1080],https://s2.pub/cctv-17
东森新闻[1920x1080],https://s2.pub/cctv-18
2,http://101.200.122.188:80/epg/ysp.php?id=cctv5
3,https://cloud.lxweb.cn/f/8bQ0I1/VID_20240122_233158.mp4
央视,#genre#
CCTV1-综合,http://ynxsj.7766.org:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2-财经,http://ynxsj.7766.org:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3-综艺,http://ynxsj.7766.org:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4-国际,http://ynxsj.7766.org:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5-体育,http://ynxsj.7766.org:9901/tsfile/live/0005_1.m3u8?key=txiptv
