临时,#genre#
TVB翡翠台[1280x720],https://s2.pub/cctv-4
J2[1920x1080],https://s2.pub/cctv-5
RK31[1920x1080],https://s2.pub/cctv-14
RK32[1920x1080],https://s2.pub/cctv-15
凤凰卫视[1280x720],https://s2.pub/cctv-1
翡翠香港频道[1280x720],https://s2.pub/cctv-4
明珠香港频道[1280x720],https://s2.pub/cctv-6
VIUtv1香港台[1920x1080],https://s2.pub/cctv-7
VIUtv2香港频[1920x1080],https://s2.pub/cctv-8
HOY78香港台[1920x1080],https://s2.pub/cctv-10
中天新闻[1920x1080],https://s2.pub/cctv-17
东森新闻[1920x1080],https://s2.pub/cctv-18
2,http://101.200.122.188:80/epg/ysp.php?id=cctv5
3,https://cloud.lxweb.cn/f/8bQ0I1/VID_20240122_233158.mp4

央视,#genre#
CCTV1-综合,http://101.200.122.188:80/epg/ysp.php?id=cctv1
CCTV2-财经,http://101.200.122.188:80/epg/ysp.php?id=cctv2
CCTV3-综艺,http://101.200.122.188:80/epg/ysp.php?id=cctv3
CCTV4-国际,http://101.200.122.188:80/epg/ysp.php?id=cctv4
CCTV5-体育,http://101.200.122.188:80/epg/ysp.php?id=cctv5
CCTV5+,http://101.200.122.188/epg/ysp.php?id=cctv5p
CCTV6-电影,http://101.200.122.188:80/epg/ysp.php?id=cctv6
CCTV7-军农,http://101.200.122.188:80/epg/ysp.php?id=cctv7
CCTV8-电视剧,http://101.200.122.188:80/epg/ysp.php?id=cctv8
CCTV9-纪录,http://101.200.122.188:80/epg/ysp.php?id=cctv9
CCTV10-科教,http://101.200.122.188:80/epg/ysp.php?id=cctv10
CCTV11-戏曲,http://101.200.122.188:80/epg/ysp.php?id=cctv11
CCTV12-社会与法,http://101.200.122.188:80/epg/ysp.php?id=cctv12
CCTV13-新闻,http://101.200.122.188:80/epg/ysp.php?id=cctv13
CCTV14-少儿,http://101.200.122.188:80/epg/ysp.php?id=cctv14
CCTV15-音乐,http://101.200.122.188:80/epg/ysp.php?id=cctv15
cctv16-奥林匹克，http://101.200.122.188:80/epg/ysp.php?id=cctv16
cctv17-农业农村，http://101.200.122.188:80/epg/ysp.php?id=cctv17

CCTV1-综合,http://php.jdshipin.com:8880/bst.php?id=cctv1hd8m/8000000
CCTV2-财经,http://php.jdshipin.com:8880/bst.php?id=cctv2hd8m/8000000
CCTV3-综艺,http://php.jdshipin.com:8880/bst.php?id=cctv3hd8m/8000000
CCTV4-国际,http://php.jdshipin.com:8880/bst.php?id=cctv4hd8m/8000000
CCTV5-体育,http://php.jdshipin.com:8880/bst.php?id=cctv5hd8m/8000000
CCTV6-电影,http://php.jdshipin.com:8880/bst.php?id=cctv6hd8m/8000000
CCTV7-军农,http://php.jdshipin.com:8880/bst.php?id=cctv7hd8m/8000000
CCTV8-电视剧,http://php.jdshipin.com:8880/bst.php?id=cctv8hd8m/8000000
CCTV9-纪录,http://php.jdshipin.com:8880/bst.php?id=cctv9hd8m/8000000
CCTV10-科教,http://php.jdshipin.com:8880/bst.php?id=cctv10hd8m/8000000
CCTV11-戏曲,http://php.jdshipin.com:8880/bst.php?id=cctv11hd8m/8000000
CCTV12-社会与法,http://php.jdshipin.com:8880/bst.php?id=cctv12hd8m/8000000
CCTV13-新闻,http://php.jdshipin.com:8880/bst.php?id=cctv13hd8m/8000000
CCTV14-少儿,http://php.jdshipin.com:8880/bst.php?id=cctv14hd8m/8000000
CCTV15-音乐,http://php.jdshipin.com:8880/bst.php?id=cctv15hd8m/8000000
cctv16-奥林匹克,http://php.jdshipin.com:8880/bst.php?id=cctv16hd8m/8000000
cctv17-农业农村,http://php.jdshipin.com:8880/bst.php?id=cctv17hd8m/8000000


CCTV1-综合,http://ynxsj.7766.org:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2-财经,http://ynxsj.7766.org:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3-综艺,http://ynxsj.7766.org:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4-国际,http://ynxsj.7766.org:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5-体育,http://ynxsj.7766.org:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6-电影,http://ynxsj.7766.org:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7-军农,http://ynxsj.7766.org:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8-电视剧,http://ynxsj.7766.org:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV9-纪录,http://ynxsj.7766.org:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10-科教,http://ynxsj.7766.org:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11-戏曲,http://ynxsj.7766.org:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12-社会与法,http://ynxsj.7766.org:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13-新闻,http://ynxsj.7766.org:9901/tsfile/live/0013_2.m3u8?key=txiptv
CCTV14-少儿,http://ynxsj.7766.org:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15-音乐,http://ynxsj.7766.org:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV5+体育赛事,http://ynxsj.7766.org:9901/tsfile/live/0016_1.m3u8?key=txiptv

卫视,#genre#
湖南卫视,http://101.200.122.188:80/epg/ysp.php?id=hunws
上海卫视,http://101.200.122.188:80/epg/ysp.php?id=shws
江苏卫视,http://101.200.122.188:80/epg/ysp.php?id=jsws
广西卫视,http://101.200.122.188:80/epg/ysp.php?id=gxws
广东卫视,http://101.200.122.188:80/epg/ysp.php?id=gdws
北京卫视,http://101.200.122.188:80/epg/ysp.php?id=bjws
四川卫视,http://101.200.122.188:80/epg/ysp.php?id=scws
辽宁卫视,http://101.200.122.188:80/epg/ysp.php?id=lnws
深圳卫视,http://101.200.122.188:80/epg/ysp.php?id=szws
安徽卫视,http://101.200.122.188:80/epg/ysp.php?id=ahws
湖北卫视,http://101.200.122.188:80/epg/ysp.php?id=hubws
天津卫视,http://101.200.122.188:80/epg/ysp.php?id=tjws
陕西卫视,http://211.101.234.23:88/live/migu.php?id=sxws
东南卫视,http://101.200.122.188:80/epg/ysp.php?id=dnws
江西卫视,http://101.200.122.188:80/epg/ysp.php?id=jxws
新疆卫视,http://101.200.122.188:80/epg/ysp.php?id=xjws
重庆卫视,http://101.200.122.188:80/epg/ysp.php?id=cqws
黑龙江卫视,http://101.200.122.188:80/epg/ysp.php?id=hljws
内蒙古卫视,http://101.200.122.188:80/epg/ysp.php?id=nmgws
河北卫视,http://101.200.122.188:80/epg/ysp.php?id=hbws
吉林卫视,http://101.200.122.188:80/epg/ysp.php?id=jlws
河南卫视,http://101.200.122.188:80/epg/ysp.php?id=hnws
贵州卫视,http://101.200.122.188:80/epg/ysp.php?id=gzws
山东卫视,http://101.200.122.188:80/epg/ysp.php?id=sdws
云南卫视,http://101.200.122.188:80/epg/ysp.php?id=ynws
山西卫视,http://live.cooltv.top/tv/tide.php?id=sxiws2
山西卫视,http://47.109.133.184:11111/sxtv.php?id=sxws

湖南卫视,http://221.12.3.18:8980/live/湖南卫视/index.m3u8
上海卫视,http://221.12.3.18:8980/live/上海卫视/index.m3u8
江苏卫视,http://221.12.3.18:8980/live/江苏卫视/index.m3u8
广西卫视,http://221.12.3.18:8980/live/广西卫视/index.m3u8
广东卫视,http://221.12.3.18:8980/live/广东卫视/index.m3u8
北京卫视,http://221.12.3.18:8980/live/北京卫视/index.m3u8
四川卫视,http://221.12.3.18:8980/live/四川卫视/index.m3u8
